"city","state_code"
"Birmingham","AL"
"Montgomery","AL"
"Mobile","AL"
"Huntsville","AL"
"Tuscaloosa","AL"
"Anchorage","AK"
"Fairbanks","AK"
"Juneau","AK"
"Sitka","AK"
"Ketchikan","AK"
"Phoenix","AZ"
"Tucson","AZ"
"Mesa","AZ"
"Chandler","AZ"
"Glendale","AZ"
"Little Rock","AR"
"Fort Smith","AR"
"Fayetteville","AR"
"Springdale","AR"
"Jonesboro","AR"
"Los Angeles","CA"
"San Diego","CA"
"San Jose","CA"
"San Francisco","CA"
"Fresno","CA"
"Denver","CO"
"Colorado Springs","CO"
"Aurora","CO"
"Fort Collins","CO"
"Lakewood","CO"
"Bridgeport","CT"
"New Haven","CT"
"Hartford","CT"
"Stamford","CT"
"Waterbury","CT"
"Wilmington","DE"
"Dover","DE"
"Newark","DE"
"Middletown","DE"
"Smyrna","DE"
"Washington","DC"
"Jacksonville","FL"
"Miami","FL"
"Tampa","FL"
"Orlando","FL"
"Atlanta","GA"
"Augusta","GA"
"Columbus","GA"
"Savannah","GA"
"Athens","GA"
"Honolulu","HI"
"Hilo","HI"
"Kailua","HI"
"Kapolei","HI"
"Pearl City","HI"
"Boise","ID"
"Nampa","ID"
"Meridian","ID"
"Caldwell","ID"
"Twin Falls","ID"
"Chicago","IL"
"Aurora","IL"
"Rockford","IL"
"Joliet","IL"
"Naperville","IL"
"Indianapolis","IN"
"Fort Wayne","IN"
"Evansville","IN"
"South Bend","IN"
"Carmel","IN"
"Des Moines","IA"
"Cedar Rapids","IA"
"Davenport","IA"
"Sioux City","IA"
"Iowa City","IA"
"Kansas City","KS"
"Overland Park","KS"
"Olathe","KS"
"Topeka","KS"
"Lawrence","KS"
"Louisville","KY"
"Lexington","KY"
"Bowling Green","KY"
"Owensboro","KY"
"Covington","KY"
"New Orleans","LA"
"Baton Rouge","LA"
"Shreveport","LA"
"Metairie","LA"
"Lafayette","LA"
"Portland","ME"
"Lewiston","ME"
"Bangor","ME"
"Auburn","ME"
"Biddeford","ME"
"Boston","MA"
"Worcester","MA"
"Springfield","MA"
"Lowell","MA"
"Cambridge","MA"
"Baltimore","MD"
"Columbia","MD"
"Germantown","MD"
"Silver Spring","MD"
"Waldorf","MD"
"Portland","MI"
"Grand Rapids","MI"
"Lansing","MI"
"Ann Arbor","MI"
"Sterling Heights","MI"
"Minneapolis","MN"
"Saint Paul","MN"
"Rochester","MN"
"Duluth","MN"
"Bloomington","IN"
